Energy,20221102_1642_Cr_22157b_75K_60deg_minus_0000,20221102_1646_Cr_22157b_75K_60deg_plus_0000,20221102_1649_Cr_22157b_75K_60deg_plus_0000,20221102_1653_Cr_22157b_75K_60deg_minus_0000,20221102_1656_Cr_22157b_75K_60deg_minus_0000,20221102_1659_Cr_22157b_75K_60deg_plus_0000,c+ H+,c- H+,c+ H-,c- H-,XMCD H+,XMCD H-,XAS,XMCD,XAS normalized by jump,XMCD normalized by XAS jump
eV,cminus fieldplus,cplus fieldplus,,,,,arb. units,arb. units,arb. units,arb. units,arb. units,arb. units,arb. units,arb. units,arb. units,arb. units
,,,cplus fieldplus,cminus fieldplus,cminus fieldplus,cplus fieldplus,,,,,c-H+ - c+H+,c-H- - c+H-,,,LCOT (2T),2T
590.52,0.117582502485805,0.114470706303042,0.1131337486321,0.112548677342376,0.111971639630699,0.111138456299853,0.112136102465976,0.112260158486538,0,0,1.2405602056173E-4,0,0.010071435162695,1.2405602056173E-4,0.157661918479916,-4.44745549737413E-5
590.531,0.117563275804213,0.114510130126797,0.113143911231802,0.112570573420334,0.111970939573723,0.111152448707867,0.112148179969835,0.112270756497028,0,0,1.22576527193941E-4,0,0.0100836064318582,1.22576527193941E-4,0.157763473859207,-4.82211081691158E-5
590.542,0.117524988779238,0.114537108744906,0.11316029362204,0.112580621013776,0.111985979794336,0.111151393925031,0.112155843773535,0.112283300404056,0,0,1.27456630520828E-4,0,0.0100933098974008,1.27456630520828E-4,0.157859074050225,-3.66209800680393E-5
590.553,0.117556952697371,0.114547886102506,0.113156579360209,0.11257924294744,0.112004018012099,0.11117303278138,0.112164806070794,0.112291630479769,0,0,1.26824408974685E-4,0,0.010100098025187,1.26824408974685E-4,0.157947639084522,-3.83229365314919E-5
590.564,0.117614799254367,0.114562454234651,0.113161184006619,0.112588170634805,0.112008918985182,0.111169206684367,0.112165195345493,0.112298544809994,0,0,1.33349464500304E-4,0,0.0100968973849244,1.33349464500304E-4,0.158012099690952,-2.27532867211262E-5
590.575,0.117591177705803,0.114550645884658,0.113162457906479,0.112590153200048,0.112008094685471,0.111149980101308,0.112156219003894,0.112299123942759,0,0,1.42904938865568E-4,0,0.0100779959309044,1.42904938865568E-4,0.158038671827972,1.29228096183243E-7
590.586,0.117560272744761,0.114524629366291,0.113177466008369,0.112596945442243,0.112004122844101,0.111151973855721,0.112164719932045,0.112300534143172,0,0,1.358142111271E-4,0,0.0100774028142826,1.358142111271E-4,0.158109424788495,-1.71580934373116E-5
590.597,0.117576755854185,0.11451538057233,0.113195887248119,0.112584923915678,0.112019924748658,0.111169687279962,0.11218278726404,0.112302424332168,0,0,1.19637068127079E-4,0,0.0100868560900877,1.19637068127079E-4,0.158204421233339,-5.63723272957635E-5
590.608,0.117635149609915,0.114534042889694,0.113206615603102,0.112583298857165,0.11203103862812,0.111188273340237,0.11219744447167,0.112307168742643,0,0,1.09724270973194E-4,0,0.0100957534630064,1.09724270973194E-4,0.158298076199338,-8.046973475045E-5
590.619,0.117577602185685,0.114555400035411,0.113205465001047,0.112598834891379,0.112036830892997,0.111196835230369,0.112201150115708,0.112317832892188,0,0,1.16682776480609E-4,0,0.0100996190114039,1.16682776480609E-4,0.158379588601748,-6.38541037170719E-5
